warning: Feature js of package getrandom has been obsolete in version 0.4.2
warning: Feature simple of package pbkdf2 has been obsolete in version 0.13.0
Name                                             Project                         Compat   Latest   Kind         Platform
parking_lot->parking_lot_core                    0.9.12                          ---      Removed  Normal       ---
parking_lot_core->cfg-if                         1.0.4                           ---      Removed  Normal       ---
parking_lot_core->libc                           0.2.185                         0.2.186  0.2.186  Normal       cfg(unix)
parking_lot_core->libc                           0.2.185                         0.2.186  Removed  Normal       cfg(unix)
parking_lot_core->redox_syscall                  0.5.18                          ---      Removed  Normal       cfg(target_os = "redox")
parking_lot_core->smallvec                       1.15.1                          ---      Removed  Normal       ---
parking_lot_core->windows-link                   0.2.1                           ---      Removed  Normal       cfg(windows)
password-hash->base64ct                          1.8.3                           ---      Removed  Normal       ---
password-hash->rand_core                         0.6.4                           ---      Removed  Normal       ---
password-hash->subtle                            2.6.1                           ---      Removed  Normal       ---
pbkdf2                                           0.12.2                          ---      0.13.0   Normal       cfg(not(target_arch = "wasm32"))
pbkdf2->digest                                   0.10.7                          ---      0.11.3   Normal       ---
pbkdf2->hmac                                     0.12.1                          ---      0.13.0   Normal       ---
pbkdf2->password-hash                            0.5.0                           ---      Removed  Normal       ---
pbkdf2->sha2                                     0.10.9                          ---      Removed  Normal       ---
potential_utf->zerovec                           0.11.6                          ---      Removed  Normal       ---
ppv-lite86->zerocopy                             0.8.48                          ---      Removed  Normal       ---
prettyplease->proc-macro2                        1.0.106                         ---      Removed  Normal       ---
prettyplease->syn                                2.0.117                         ---      Removed  Normal       ---
proc-macro2->unicode-ident                       1.0.24                          ---      Removed  Normal       ---
quote->proc-macro2                               1.0.106                         ---      Removed  Normal       ---
rand                                             0.8.6                           ---      0.10.1   Normal       ---
rand->libc                                       0.2.185                         0.2.186  0.2.186  Normal       cfg(unix)
rand->libc                                       0.2.185                         0.2.186  Removed  Normal       cfg(unix)
rand->rand_chacha                                0.3.1                           ---      0.9.0    Normal       ---
rand->rand_chacha                                0.3.1                           ---      Removed  Normal       ---
rand->rand_core                                  0.6.4                           ---      0.10.1   Normal       ---
rand->rand_core                                  0.6.4                           ---      0.9.5    Normal       ---
rand_chacha->ppv-lite86                          0.2.21                          ---      Removed  Normal       ---
rand_chacha->rand_core                           0.6.4                           ---      0.9.5    Normal       ---
rand_chacha->rand_core                           0.6.4                           ---      Removed  Normal       ---
rand_core->getrandom                             0.2.17                          ---      0.3.4    Normal       ---
rand_core->getrandom                             0.2.17                          ---      Removed  Normal       ---
redis                                            0.27.6                          ---      1.2.1    Normal       cfg(not(target_arch = "wasm32"))
redis->arc-swap                                  1.9.1                           ---      Removed  Normal       ---
redis->itertools                                 0.13.0                          ---      Removed  Normal       ---
redis->socket2                                   0.5.10                          ---      0.6.3    Normal       ---
redox_syscall->bitflags                          2.11.1                          ---      Removed  Normal       ---
regex->aho-corasick                              1.1.4                           ---      Removed  Normal       ---
regex->memchr                                    2.8.0                           ---      Removed  Normal       ---
regex->regex-automata                            0.4.14                          ---      Removed  Normal       ---
regex->regex-syntax                              0.8.10                          ---      Removed  Normal       ---
regex-automata->aho-corasick                     1.1.4                           ---      Removed  Normal       ---
regex-automata->memchr                           2.8.0                           ---      Removed  Normal       ---
regex-automata->regex-syntax                     0.8.10                          ---      Removed  Normal       ---
reqwest                                          0.11.27                         ---      0.13.3   Normal       cfg(not(target_arch = "wasm32"))
reqwest->base64                                  0.21.7                          ---      0.22.1   Normal       ---
reqwest->futures-util                            0.3.32                          ---      Removed  Normal       ---
reqwest->h2                                      0.3.27                          ---      0.4.13   Normal       cfg(not(target_arch = "wasm32"))
reqwest->http                                    0.2.12                          ---      1.4.0    Normal       ---
reqwest->http-body                               0.4.6                           ---      1.0.1    Normal       cfg(not(target_arch = "wasm32"))
reqwest->hyper                                   0.14.32                         ---      1.9.0    Normal       cfg(not(target_arch = "wasm32"))
reqwest->hyper-tls                               0.5.0                           ---      Removed  Normal       cfg(not(target_arch = "wasm32"))
reqwest->ipnet                                   2.12.0                          ---      Removed  Normal       cfg(not(target_arch = "wasm32"))
reqwest->native-tls                              0.2.18                          ---      Removed  Normal       cfg(not(target_arch = "wasm32"))
reqwest->once_cell                               1.21.4                          ---      Removed  Normal       cfg(not(target_arch = "wasm32"))
reqwest->rustls-pemfile                          1.0.4                           ---      Removed  Normal       cfg(not(target_arch = "wasm32"))
reqwest->serde_urlencoded                        0.7.1                           ---      Removed  Normal       ---
reqwest->sync_wrapper                            0.1.2                           ---      1.0.2    Normal       ---
reqwest->system-configuration                    0.5.1                           ---      Removed  Normal       cfg(target_os = "macos")
reqwest->tokio-native-tls                        0.3.1                           ---      Removed  Normal       cfg(not(target_arch = "wasm32"))
reqwest->winreg                                  0.50.0                          ---      Removed  Normal       cfg(windows)
ring->cc                                         1.2.60                          1.2.61   1.2.61   Build        ---
ring->libc                                       0.2.185                         0.2.186  0.2.186  Normal       cfg(all(all(target_arch = "aarch64", target_endian = "little"), target_vendor = "apple", any(target_os = "ios", target_os = "macos", target_os = "tvos", target_os = "visionos", target_os = "watchos")))
rust-multipart-rfc7578_2->http                   0.2.12                          ---      1.4.0    Normal       ---
rust-multipart-rfc7578_2->mime_guess             2.0.5                           ---      Removed  Normal       ---
rust-multipart-rfc7578_2->rand                   0.8.6                           ---      0.10.1   Normal       ---
rust-multipart-rfc7578_2->thiserror              1.0.69                          ---      2.0.18   Normal       ---
rustix->bitflags                                 2.11.1                          ---      Removed  Normal       ---
rustix->errno                                    0.3.14                          ---      Removed  Development  ---
rustix->libc                                     0.2.185                         0.2.186  0.2.186  Development  ---
rustix->libc                                     0.2.185                         0.2.186  Removed  Development  ---
rustix->linux-raw-sys                            0.12.1                          ---      Removed  Normal       cfg(all(any(target_os = "linux", target_os = "android"), any(rustix_use_libc, miri, not(all(target_os = "linux", any(target_endian = "little", any(target_arch = "s390x", target_arch = "powerpc")), any(target_arch = "arm", all(target_arch = "aarch64", target_pointer_width = "64"), target_arch = "riscv64", all(rustix_use_experimental_asm, target_arch = "powerpc"), all(rustix_use_experimental_asm, target_arch = "powerpc64"), all(rustix_use_experimental_asm, target_arch = "s390x"), all(rustix_use_experimental_asm, target_arch = "mips"), all(rustix_use_experimental_asm, target_arch = "mips32r6"), all(rustix_use_experimental_asm, target_arch = "mips64"), all(rustix_use_experimental_asm, target_arch = "mips64r6"), target_arch = "x86", all(target_arch = "x86_64", target_pointer_width = "64")))))))
rustix->windows-sys                              0.61.2                          ---      Removed  Normal       cfg(windows)
rustls->rustls-pki-types                         1.14.0                          1.14.1   1.14.1   Normal       ---
rustls-pemfile->base64                           0.21.7                          ---      Removed  Normal       ---
rustls-webpki->rustls-pki-types                  1.14.0                          1.14.1   1.14.1   Normal       ---
schannel->windows-sys                            0.61.2                          ---      Removed  Normal       ---
security-framework->bitflags                     2.11.1                          ---      Removed  Normal       ---
security-framework->core-foundation              0.10.1                          ---      Removed  Normal       ---
security-framework->core-foundation-sys          0.8.7                           ---      Removed  Normal       ---
security-framework->libc                         0.2.185                         0.2.186  Removed  Normal       ---
security-framework->security-framework-sys       2.17.0                          ---      Removed  Normal       ---
security-framework-sys->core-foundation-sys      0.8.7                           ---      Removed  Normal       ---
security-framework-sys->libc                     0.2.185                         0.2.186  Removed  Normal       ---
serde->serde_core                                1.0.228                         ---      Removed  Normal       ---
serde->serde_derive                              1.0.228                         ---      Removed  Normal       ---
serde_core->serde_derive                         1.0.228                         ---      Removed  Development  ---
serde_derive->proc-macro2                        1.0.106                         ---      Removed  Normal       ---
serde_derive->quote                              1.0.45                          ---      Removed  Normal       ---
serde_derive->syn                                2.0.117                         ---      Removed  Normal       ---
serde_json->itoa                                 1.0.18                          ---      Removed  Normal       ---
serde_json->memchr                               2.8.0                           ---      Removed  Normal       ---
serde_json->serde                                1.0.228                         ---      Removed  Development  ---
serde_json->serde_core                           1.0.228                         ---      Removed  Normal       ---
serde_json->zmij                                 1.0.21                          ---      Removed  Normal       ---
serde_urlencoded->form_urlencoded                1.2.2                           ---      Removed  Normal       ---
serde_urlencoded->itoa                           1.0.18                          ---      Removed  Normal       ---
serde_urlencoded->ryu                            1.0.23                          ---      Removed  Normal       ---
serde_urlencoded->serde                          1.0.228                         ---      Removed  Normal       ---
sha2                                             0.10.9                          ---      0.11.0   Normal       cfg(not(target_arch = "wasm32"))
sha2->cfg-if                                     1.0.4                           ---      Removed  Normal       ---
sha2->cpufeatures                                0.2.17                          ---      0.3.0    Normal       cfg(any(target_arch = "aarch64", target_arch = "x86_64", target_arch = "x86"))
sha2->cpufeatures                                0.2.17                          ---      Removed  Normal       cfg(any(target_arch = "aarch64", target_arch = "x86_64", target_arch = "x86"))
sha2->digest                                     0.10.7                          ---      0.11.3   Normal       ---
sha2->digest                                     0.10.7                          ---      Removed  Normal       ---
signal-hook-registry->errno                      0.3.14                          ---      Removed  Normal       ---
signal-hook-registry->libc                       0.2.185                         0.2.186  0.2.186  Normal       ---
signal-hook-registry->libc                       0.2.185                         0.2.186  Removed  Normal       ---
